Vardas         Pavarde         ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10    Egz.
Vardas1        Pavarde1        2    10   8    7    2    6    4    8    5    9       3
Vardas2        Pavarde2        2    9    2    9    3    10   3    10   7    8       8
Vardas3        Pavarde3        10   3    8    10   3    5    8    8    5    6       4
Vardas4        Pavarde4        8    10   4    7    10   5    4    8    9    3       4
Vardas5        Pavarde5        3    7    2    4    10   7    4    9    2    6      10
Vardas6        Pavarde6        5    9    5    3    4    6    5    3    4    5       3
Vardas7        Pavarde7        5    2    6    3    4    6    5    6    8    4       5
Vardas8        Pavarde8        5    6    6    3    2    8    8    6    4    4       2
Vardas9        Pavarde9        9    2    2    7    9    3    6    2    5    8       6
Vardas10       Pavarde10       7    9    3    4    3    4    4    10   7    8       2
Vardas11       Pavarde11       10   7    6    6    4    3    7    9    9    4       8
Vardas12       Pavarde12       5    9    7    9    6    10   9    10   3    9       4
Vardas13       Pavarde13       2    10   5    3    6    6    9    5    9    5       5
Vardas14       Pavarde14       3    8    5    6    7    9    2    2    4    7       3
Vardas15       Pavarde15       8    2    3    2    5    10   7    6    4    6       9
Vardas16       Pavarde16       7    5    3    3    6    4    2    7    5    6       8
Vardas17       Pavarde17       5    7    5    5    5    2    6    6    8    4       2
Vardas18       Pavarde18       7    5    3    4    9    8    7    7    10   9      10
Vardas19       Pavarde19       3    9    3    6    3    5    8    8    5    7       7
Vardas20       Pavarde20       8    2    9    9    8    6    5    7    4    8       7
Vardas21       Pavarde21       9    4    2    5    10   2    4    5    4    8       8
Vardas22       Pavarde22       8    9    2    7    5    4    9    3    10   4       2
Vardas23       Pavarde23       4    2    8    2    5    4    9    2    3    6      10
Vardas24       Pavarde24       2    2    5    3    9    4    10   3    5    9       6
Vardas25       Pavarde25       2    2    5    3    4    9    7    6    4    8       5
Vardas26       Pavarde26       2    4    9    10   10   3    3    6    3    9       7
Vardas27       Pavarde27       5    3    2    10   5    3    6    3    10   6       8
Vardas28       Pavarde28       8    8    2    7    7    6    7    5    10   7       2
Vardas29       Pavarde29       7    3    2    4    3    2    5    3    7    3       6
Vardas30       Pavarde30       8    4    8    4    4    10   6    7    2    9       5
Vardas31       Pavarde31       2    4    7    8    5    5    5    4    9    8       9
Vardas32       Pavarde32       6    7    5    7    3    7    10   2    6    3       8
Vardas33       Pavarde33       3    9    5    5    3    2    4    6    2    2       2
Vardas34       Pavarde34       6    10   4    9    8    2    5    4    2    8      10
Vardas35       Pavarde35       8    9    7    3    3    4    10   5    2    5       6
Vardas36       Pavarde36       7    3    6    9    8    4    2    9    9    6       4
Vardas37       Pavarde37       9    6    5    6    4    6    9    6    3    3       9
Vardas38       Pavarde38       9    2    2    9    2    6    9    3    5    6       7
Vardas39       Pavarde39       5    10   6    3    2    4    4    4    6    9       7
Vardas40       Pavarde40       2    4    7    5    7    10   3    6    10   7       6
Vardas41       Pavarde41       9    4    8    9    8    8    2    6    10   8      10
Vardas42       Pavarde42       8    6    7    6    2    5    10   2    6    4       2
Vardas43       Pavarde43       5    3    10   8    9    3    10   8    4    9       5
